singleThreaded,multiThreaded
1.980675411,2.4
4.786324474,8
4.781659095,8.8
4.865477105,11.1
3.8584669,10.7
4.935311394,9.9
4.931429411,11
4.980654753,11.2
4.464528518,11
4.722549496,11
5.031657315,10.9
4.746943118,11.2
3.720627227,11
4.863152866,10.9
5.102236841,10.7
4.828987483,11
4.387480373,10.9
4.958579826,8.9
4.888392134,9.6
4.906990375,9.7
3.892954301,9.7
4.856755774,8.9
4.918498853,9.3
4.641739873,8.4
4.277043405,8.3
4.628355839,8.7
4.78395518,8.4
4.750539975,8.4
3.941366786,7.8
4.866894174,8.8
4.783371405,8.9
4.991745294,8.4
3.589925656,9.2
4.80862509,8.3
4.847410106,9
4.960579615,8.5
4.203084243,9.1
4.670321888,9.2
4.820385281,8.3
4.728832286,8.8
3.863748707,7.9
4.864579866,8.4
4.683950091,8.8
4.790118043,8.7
3.695890932,9.5
4.866803818,9.5
4.900139727,8.7
4.780073303,8.3
4.290615445,9
4.798661872,8.3
4.879679365,8.4
4.715848555,8.3
3.625236176,8.9
4.682459799,8.5
4.790960658,8.4
4.571234264,8.6
3.637731136,8.8
4.611157224,9.1
5.002157427,9.3
4.777133381,8.6
4.277514489,8.5
4.680103415,8.4
4.96365575,9.5
4.755958975,8.8
4.60308057,8.6
5.00392984,9
4.855676238,8.5
4.642361522,8.7
4.738710789,9.3
5.002807762,8.8
5.113514476,8.6
3.748884086,9
4.571214336,9
4.516020806,8.3
4.009490543,8.6
4.893159756,8.9
5.026025833,9.2
4.934533347,9
4.139554255,8.6
4.73121666,8.5
4.880905916,8.7
4.960251093,8.1
4.014671537,9.1
4.485665946,9.1
4.618814634,8.4
5.089279192,8.5
3.586947672,8.6
4.946451526,8.4
4.692512774,8.4
4.772046074,8.8
4.382877296,9.4
4.734709543,8.7
4.666227594,9.3
4.589963438,9.3
3.909249355,8.8
5.214338017,8.5
4.756719485,7.7
4.853389431,8.6
3.584290086,10.6
3.798727328,9.3
4.798370914,9.2
4.78445723,8.8
4.008570877,10.1
4.754665049,9.1
5.136609961,8.4
5.051491612,8.5
4.202663097,8.4
4.965818371,8.6
4.961694567,8.3
4.947711879,8.1
3.619651714,9.5
4.806211641,8.8
4.552222494,8.5
4.694030485,9.2
3.711172438,8.7
4.88341204,8.6
4.820446221,8.4
4.995669304,8.2
4.137904364,9.4
4.796686249,8.8
5.018574799,8.3
4.600808429,9.4
4.78131569,9.4
4.847337278,9.1
4.946369859,8.3
4.000644788,8.3
4.727419866,8.5
4.755344273,9.6
4.439093364,9.4
,9.3
,8.9
,8.4
,8.5
,8.5
,8.7
,8.4
,8.3
,8.6
,8.3
,9.7
,9
,9
,8.5
,8.6
,8.2
,8
,9.4
,8.5
,8.2
,8.3
,8.8
,8.8
,8.4
,8.2
,8.8
,8.4
,9.6
,8.9
,7.8
,8.6
,8.2
,8.8
,9
,8.6
,8.6
,8
,8.9
,8.5
,8.5
,9
,10.1
,8.4
,8.5
,8.7
,9.3
,8.4
,9.7
,8.3
,9.5
,8.5
,8.4
,8.2
,9.1
,9.2
,9.3
,9
,8.2
,8.6
,8.4
,8.6
,8.4
,8.5
,8.7
,8.4
,8.7
,8.4
,9.1
,8.9
,8.6
,8.4
,8.5
,8.6
,8.3
,8.4
,8.5
,8.5
,8.3
,8.7
,8
,9
,8.9
,8.8
,8.4
,9.2
,8.4
,9.7
,8.7
,8.6
,8.8
,8.3
,8.9
,8.4
,8.3
,8.2
,8.7
,9.7
,9.2
,9.1
,8.7
,9.4
,8.6
,8.6
,8.4
,8.5
,8.5
,8.5
,8.1
,9
,8.5
,7.9
,9.2
,8.6
,8.3
,8.3
,8.7
,8.7
,8.3
,8.4
